material_1,material_2,comparative,property,logical_form
glass,plastic,More,transparent,"Material(A, glass) and Material(B, plastic), so More(transparent(A), transparent(B))"
glass,sand,More,transparent,"Material(A, glass) and Material(B, sand), so More(transparent(A), transparent(B))"
glass,gold,More,transparent,"Material(A, glass) and Material(B, gold), so More(transparent(A), transparent(B))"
glass,metal and not plastic,More,transparent,"Material(A, glass) and Material(B, metal and not plastic), so More(transparent(A), transparent(B))"
glass,silver,More,transparent,"Material(A, glass) and Material(B, silver), so More(transparent(A), transparent(B))"
glass,sand,Less,opaque,"Material(A, glass) and Material(B, sand), so Less(opaque(A), opaque(B))"
glass,plastic,Less,opaque,"Material(A, glass) and Material(B, plastic), so Less(opaque(A), opaque(B))"
glass,gold,Less,opaque,"Material(A, glass) and Material(B, gold), so Less(opaque(A), opaque(B))"
glass,oil,Less,opaque,"Material(A, glass) and Material(B, oil), so Less(opaque(A), opaque(B))"
glass,iron,Less,opaque,"Material(A, glass) and Material(B, iron), so Less(opaque(A), opaque(B))"
glass,silicon,Less,opaque,"Material(A, glass) and Material(B, silicon), so Less(opaque(A), opaque(B))"
glass,sand,More,clear,"Material(A, glass) and Material(B, sand), so More(clear(A), clear(B))"
glass,gold,More,clear,"Material(A, glass) and Material(B, gold), so More(clear(A), clear(B))"
glass,plastic,More,clear,"Material(A, glass) and Material(B, plastic), so More(clear(A), clear(B))"
glass,sugar,More,clear,"Material(A, glass) and Material(B, sugar), so More(clear(A), clear(B))"
glass,carbon,More,clear,"Material(A, glass) and Material(B, carbon), so More(clear(A), clear(B))"
glass,metal,More,clear,"Material(A, glass) and Material(B, metal), so More(clear(A), clear(B))"
glass,sand,More,fragile,"Material(A, glass) and Material(B, sand), so More(fragile(A), fragile(B))"
glass,gold,More,fragile,"Material(A, glass) and Material(B, gold), so More(fragile(A), fragile(B))"
glass,plastic,More,fragile,"Material(A, glass) and Material(B, plastic), so More(fragile(A), fragile(B))"
glass,metal,More,fragile,"Material(A, glass) and Material(B, metal), so More(fragile(A), fragile(B))"
glass,silver,More,fragile,"Material(A, glass) and Material(B, silver), so More(fragile(A), fragile(B))"
glass,ceramic,More,fragile,"Material(A, glass) and Material(B, ceramic), so More(fragile(A), fragile(B))"
glass,water,Less,good for drink,"Material(A, glass) and Material(B, water), so Less(good for drink(A), good for drink(B))"
glass,milk,Less,good for drink,"Material(A, glass) and Material(B, milk), so Less(good for drink(A), good for drink(B))"
glass,alcohol,Less,good for drink,"Material(A, glass) and Material(B, alcohol), so Less(good for drink(A), good for drink(B))"
glass,ferment milk,Less,good for drink,"Material(A, glass) and Material(B, ferment milk), so Less(good for drink(A), good for drink(B))"
glass,liquid,Less,good for drink,"Material(A, glass) and Material(B, liquid), so Less(good for drink(A), good for drink(B))"
glass,liquor,Less,good for drink,"Material(A, glass) and Material(B, liquor), so Less(good for drink(A), good for drink(B))"
glass,rum,Less,good for drink,"Material(A, glass) and Material(B, rum), so Less(good for drink(A), good for drink(B))"
glass,sand,More,translucent,"Material(A, glass) and Material(B, sand), so More(translucent(A), translucent(B))"
glass,gold,More,translucent,"Material(A, glass) and Material(B, gold), so More(translucent(A), translucent(B))"
glass,plastic,More,translucent,"Material(A, glass) and Material(B, plastic), so More(translucent(A), translucent(B))"
glass,silicon,More,translucent,"Material(A, glass) and Material(B, silicon), so More(translucent(A), translucent(B))"
glass,metal,More,translucent,"Material(A, glass) and Material(B, metal), so More(translucent(A), translucent(B))"
glass,oil,More,translucent,"Material(A, glass) and Material(B, oil), so More(translucent(A), translucent(B))"
glass,carbon,More,translucent,"Material(A, glass) and Material(B, carbon), so More(translucent(A), translucent(B))"
glass,sand,More,contain liquid,"Material(A, glass) and Material(B, sand), so More(contain liquid(A), contain liquid(B))"
glass,metal,More,contain liquid,"Material(A, glass) and Material(B, metal), so More(contain liquid(A), contain liquid(B))"
glass,gold,More,contain liquid,"Material(A, glass) and Material(B, gold), so More(contain liquid(A), contain liquid(B))"
glass,sugar,More,contain liquid,"Material(A, glass) and Material(B, sugar), so More(contain liquid(A), contain liquid(B))"
glass,plastic,More,contain liquid,"Material(A, glass) and Material(B, plastic), so More(contain liquid(A), contain liquid(B))"
glass,hydrogen,More,contain liquid,"Material(A, glass) and Material(B, hydrogen), so More(contain liquid(A), contain liquid(B))"
glass,gas,More,contain liquid,"Material(A, glass) and Material(B, gas), so More(contain liquid(A), contain liquid(B))"
glass,gold,More,very reflective,"Material(A, glass) and Material(B, gold), so More(very reflective(A), very reflective(B))"
glass,plastic,More,very reflective,"Material(A, glass) and Material(B, plastic), so More(very reflective(A), very reflective(B))"
glass,sand,More,very reflective,"Material(A, glass) and Material(B, sand), so More(very reflective(A), very reflective(B))"
glass,metal,More,very reflective,"Material(A, glass) and Material(B, metal), so More(very reflective(A), very reflective(B))"
glass,silver,More,very reflective,"Material(A, glass) and Material(B, silver), so More(very reflective(A), very reflective(B))"
glass,sand,More,reflective,"Material(A, glass) and Material(B, sand), so More(reflective(A), reflective(B))"
glass,plastic,More,reflective,"Material(A, glass) and Material(B, plastic), so More(reflective(A), reflective(B))"
glass,gold,More,reflective,"Material(A, glass) and Material(B, gold), so More(reflective(A), reflective(B))"
glass,metal,More,reflective,"Material(A, glass) and Material(B, metal), so More(reflective(A), reflective(B))"
glass,matter,More,reflective,"Material(A, glass) and Material(B, matter), so More(reflective(A), reflective(B))"
glass,silver,More,reflective,"Material(A, glass) and Material(B, silver), so More(reflective(A), reflective(B))"
paper,plastic,More,crumple,"Material(A, paper) and Material(B, plastic), so More(crumple(A), crumple(B))"
paper,wood,More,crumple,"Material(A, paper) and Material(B, wood), so More(crumple(A), crumple(B))"
paper,clay,More,crumple,"Material(A, paper) and Material(B, clay), so More(crumple(A), crumple(B))"
paper,sand,More,crumple,"Material(A, paper) and Material(B, sand), so More(crumple(A), crumple(B))"
paper,glass,More,crumple,"Material(A, paper) and Material(B, glass), so More(crumple(A), crumple(B))"
paper,gold,More,crumple,"Material(A, paper) and Material(B, gold), so More(crumple(A), crumple(B))"
paper,metal,More,crumple,"Material(A, paper) and Material(B, metal), so More(crumple(A), crumple(B))"
paper,rice,More,crumple,"Material(A, paper) and Material(B, rice), so More(crumple(A), crumple(B))"
paper,plastic,More,thin,"Material(A, paper) and Material(B, plastic), so More(thin(A), thin(B))"
paper,sand,More,thin,"Material(A, paper) and Material(B, sand), so More(thin(A), thin(B))"
paper,gold,More,thin,"Material(A, paper) and Material(B, gold), so More(thin(A), thin(B))"
paper,metal,More,thin,"Material(A, paper) and Material(B, metal), so More(thin(A), thin(B))"
paper,carbon,More,thin,"Material(A, paper) and Material(B, carbon), so More(thin(A), thin(B))"
paper,water,More,thin,"Material(A, paper) and Material(B, water), so More(thin(A), thin(B))"
paper,glass,More,opaque,"Material(A, paper) and Material(B, glass), so More(opaque(A), opaque(B))"
paper,water,More,opaque,"Material(A, paper) and Material(B, water), so More(opaque(A), opaque(B))"
paper,ice,More,opaque,"Material(A, paper) and Material(B, ice), so More(opaque(A), opaque(B))"
paper,crystal,More,opaque,"Material(A, paper) and Material(B, crystal), so More(opaque(A), opaque(B))"
paper,sand,More,flat,"Material(A, paper) and Material(B, sand), so More(flat(A), flat(B))"
paper,stone,More,flat,"Material(A, paper) and Material(B, stone), so More(flat(A), flat(B))"
paper,plastic but plastic with rubber band,More,flat,"Material(A, paper) and Material(B, plastic but plastic with rubber band), so More(flat(A), flat(B))"
paper,clay,More,flat,"Material(A, paper) and Material(B, clay), so More(flat(A), flat(B))"
paper,rock,More,flat,"Material(A, paper) and Material(B, rock), so More(flat(A), flat(B))"
paper,sand,More,fragile,"Material(A, paper) and Material(B, sand), so More(fragile(A), fragile(B))"
paper,gold,More,fragile,"Material(A, paper) and Material(B, gold), so More(fragile(A), fragile(B))"
paper,plastic,More,fragile,"Material(A, paper) and Material(B, plastic), so More(fragile(A), fragile(B))"
paper,sugar,More,fragile,"Material(A, paper) and Material(B, sugar), so More(fragile(A), fragile(B))"
paper,metal,More,fragile,"Material(A, paper) and Material(B, metal), so More(fragile(A), fragile(B))"
paper,silver,More,fragile,"Material(A, paper) and Material(B, silver), so More(fragile(A), fragile(B))"
paper,ceramic,More,fragile,"Material(A, paper) and Material(B, ceramic), so More(fragile(A), fragile(B))"
paper,carbon,More,white or black,"Material(A, paper) and Material(B, carbon), so More(white or black(A), white or black(B))"
paper,sand,More,white or black,"Material(A, paper) and Material(B, sand), so More(white or black(A), white or black(B))"
paper,oil,More,white or black,"Material(A, paper) and Material(B, oil), so More(white or black(A), white or black(B))"
paper,metal,More,white or black,"Material(A, paper) and Material(B, metal), so More(white or black(A), white or black(B))"
paper,plastic,More,white or black,"Material(A, paper) and Material(B, plastic), so More(white or black(A), white or black(B))"
paper,sand,More,durable,"Material(A, paper) and Material(B, sand), so More(durable(A), durable(B))"
paper,clay,More,durable,"Material(A, paper) and Material(B, clay), so More(durable(A), durable(B))"
paper,ceramic or plastic,More,durable,"Material(A, paper) and Material(B, ceramic or plastic), so More(durable(A), durable(B))"
paper,silicon,More,durable,"Material(A, paper) and Material(B, silicon), so More(durable(A), durable(B))"
paper,plastic,More,lightweight,"Material(A, paper) and Material(B, plastic), so More(lightweight(A), lightweight(B))"
paper,metal,More,lightweight,"Material(A, paper) and Material(B, metal), so More(lightweight(A), lightweight(B))"
paper,iron,More,lightweight,"Material(A, paper) and Material(B, iron), so More(lightweight(A), lightweight(B))"
paper,gold,More,lightweight,"Material(A, paper) and Material(B, gold), so More(lightweight(A), lightweight(B))"
paper,steel,More,lightweight,"Material(A, paper) and Material(B, steel), so More(lightweight(A), lightweight(B))"
paper,rubber,More,lightweight,"Material(A, paper) and Material(B, rubber), so More(lightweight(A), lightweight(B))"
paper,cow blood,More,lightweight,"Material(A, paper) and Material(B, cow blood), so More(lightweight(A), lightweight(B))"
paper,sand,More,lightweight,"Material(A, paper) and Material(B, sand), so More(lightweight(A), lightweight(B))"
paper,aluminum,More,lightweight,"Material(A, paper) and Material(B, aluminum), so More(lightweight(A), lightweight(B))"
paper,leather,More,lightweight,"Material(A, paper) and Material(B, leather), so More(lightweight(A), lightweight(B))"
metal,plastic,More,hard,"Material(A, metal) and Material(B, plastic), so More(hard(A), hard(B))"
metal,sand,More,hard,"Material(A, metal) and Material(B, sand), so More(hard(A), hard(B))"
metal,glass,More,hard,"Material(A, metal) and Material(B, glass), so More(hard(A), hard(B))"
metal,water,More,hard,"Material(A, metal) and Material(B, water), so More(hard(A), hard(B))"
metal,lead,More,hard,"Material(A, metal) and Material(B, lead), so More(hard(A), hard(B))"
metal,rubber,More,hard,"Material(A, metal) and Material(B, rubber), so More(hard(A), hard(B))"
metal,sand,More,heavy,"Material(A, metal) and Material(B, sand), so More(heavy(A), heavy(B))"
metal,gold,More,heavy,"Material(A, metal) and Material(B, gold), so More(heavy(A), heavy(B))"
metal,plastic,More,heavy,"Material(A, metal) and Material(B, plastic), so More(heavy(A), heavy(B))"
metal,sugar,More,heavy,"Material(A, metal) and Material(B, sugar), so More(heavy(A), heavy(B))"
metal,rubber,More,heavy,"Material(A, metal) and Material(B, rubber), so More(heavy(A), heavy(B))"
metal,oil,More,heavy,"Material(A, metal) and Material(B, oil), so More(heavy(A), heavy(B))"
metal,carbon,More,heavy,"Material(A, metal) and Material(B, carbon), so More(heavy(A), heavy(B))"
metal,glass,More,opaque,"Material(A, metal) and Material(B, glass), so More(opaque(A), opaque(B))"
metal,plastic,More,opaque,"Material(A, metal) and Material(B, plastic), so More(opaque(A), opaque(B))"
metal,water,More,opaque,"Material(A, metal) and Material(B, water), so More(opaque(A), opaque(B))"
metal,ice,More,opaque,"Material(A, metal) and Material(B, ice), so More(opaque(A), opaque(B))"
metal,crystal,More,opaque,"Material(A, metal) and Material(B, crystal), so More(opaque(A), opaque(B))"
metal,plastic,More,rigid,"Material(A, metal) and Material(B, plastic), so More(rigid(A), rigid(B))"
metal,rubber,More,rigid,"Material(A, metal) and Material(B, rubber), so More(rigid(A), rigid(B))"
metal,sand,More,rigid,"Material(A, metal) and Material(B, sand), so More(rigid(A), rigid(B))"
metal,sugar,More,rigid,"Material(A, metal) and Material(B, sugar), so More(rigid(A), rigid(B))"
